"sentence"	"wordid"
"Jack Coulter (born 1994) is an <abstract> expressionist painter and photographer from Belfast."	"abstract_adj-nou"
"Then this <abstract> measure is combined with the subjective probabilities through a linear combination of the utilities."	"abstract_adj-nou"
"He studied European <abstract> painting styles, which influenced his increasingly socially concerned themes."	"abstract_adj-nou"
"An <abstract> painting, it shows willows or trees swaying in the wind."	"abstract_adj-nou"
"Dimitri Kourouniotis (born 1965 in Greece) is a contemporary artist based in San Francisco specializing in <abstract> paintings."	"abstract_adj-nou"
"Hopewell artists created both <abstract> and realistic portrayals of the human form."	"abstract_adj-nou"
"In 1825, Navarrete published the <abstract> with expanded abbreviations, spelled out numerals, proper punctuation and modernized spelling."	"abstract_adj-nou"
"This series was noted at the time for their <abstract> presentation of the female body, and representation of sexual consciousness."	"abstract_adj-nou"
"Innocent said that he change his drawing to more <abstract> and figuration drawing."	"abstract_adj-nou"
"Encoding rules specify the representation of these <abstract> values as a series of bits."	"abstract_adj-nou"
"Pediatr Res 33, 184A, 1993 (<abstract> #1089)."	"abstract_adj-nou"
"The learning characteristics are <abstract> conceptualization and active experimentation."	"abstract_adj-nou"
"Godwin is considered a third-generation <abstract> expressionist."	"abstract_adj-nou"
"Contains diary entries, autobiographical writing, photographs and <abstract> poetry."	"abstract_adj-nou"
"Av Reyni introduced cubism, <abstract> expressionism and suprematism to the Faroes."	"abstract_adj-nou"
"With an <abstract> of the discussion upon the paper."	"abstract_adj-nou"
"He soon focused into a most peculiar style, using geometric <abstract> forms and switching from oil paint to tempera."	"abstract_adj-nou"
"Kotu Ellima is a two-player <abstract> strategy board game from Sri Lanka and India."	"abstract_adj-nou"
"Loizides' work falls into the category of geometrical <abstract> art."	"abstract_adj-nou"
"Newgrange contains various examples of <abstract> Neolithic rock art carved onto it which provide decoration."	"abstract_adj-nou"
"Bachman's work is typically <abstract>, displaying futurism."	"abstract_adj-nou"
"Due to AIDS, the baths are presented as an ""<abstract> farce machine"" and jokes about sexually transmitted diseases are dropped."	"abstract_adj-nou"
"Rimbaud's style and syntactical choices pointed to Symbolist tendencies, including the use of <abstract> plural nouns."	"abstract_adj-nou"
"Gorin participated in many other exhibitions of <abstract> art in Europe and the United States."	"abstract_adj-nou"
"He wanted to keep it more <abstract> because for him it was very abstract."	"abstract_adj-nou"
"These tapestries are notable for their <abstract> designs, unusual colors, and technical complexity."	"abstract_adj-nou"
"He is known for his often large-scale <abstract> paintings and found-object sculptures."	"abstract_adj-nou"
"<Abstract> masks and hoods are also employed to help define the characters."	"abstract_adj-nou"
"The stars on it are an <abstract> representation of Latin American countries, and ""happiness, celebrations and optimism."""	"abstract_adj-nou"
"Kedrin is an <abstract> expressionist (or ""mystical abstract romanticist""), and creates both paintings and sculpture."	"abstract_adj-nou"
"Postmodern architects may regard many modern buildings as soulless and bland, overly simplistic and <abstract>."	"abstract_adj-nou"
"In <abstract> algebra, a Boolean algebra or Boolean lattice is a complemented distributive lattice."	"abstract_adj-nou"
"Kasimir Malevich completed his first entirely <abstract> work, the Suprematist, 'Black Square', in 1915."	"abstract_adj-nou"
"Fifteenth Census of the United States: 1930: <Abstract> of the Fifteenth Census of the United States."	"abstract_adj-nou"
"She gave us a lot of <abstract> themes to work with."	"abstract_adj-nou"
"Position 2 preverbs are arranged semantically along a scale from <abstract> to concrete."	"abstract_adj-nou"
"As a painter, he is known for his colorful <abstract> works, often emphasizing the colors blue and red."	"abstract_adj-nou"
"Thus, people with Schizophrenia have trouble making inferences about social situations and settings that deal with <abstract> aspects."	"abstract_adj-nou"
"It was based on the painter's intention to create a certain design out of an <abstract> process."	"abstract_adj-nou"
"Agricola I is an <abstract> sculpture by American artist David Smith."	"abstract_adj-nou"
"His <abstract> sculpture, Pendant Line, has been shown inside Salisbury Cathedral in the exhibition, 'Liminality', in 2010."	"abstract_adj-nou"
"On this analysis, the <abstract> ""good"" in the first horn of the Euthyphro dilemma is an unnecessary obfuscation."	"abstract_adj-nou"
"Four <abstract> works, titled Caravan, are displayed beside each of the two escalators to the train platforms."	"abstract_adj-nou"
"Deduction board games typically fall into two broad categories; <abstract> and investigation games."	"abstract_adj-nou"
"Echoing John Henry Newman, Muhlenberg believed that ""there can be no such thing as Christianity in the <abstract>."""	"abstract_adj-nou"
"Therefore, the artist neither performs in narrative scripts, nor composes after effects of rhetoric of the proper <abstract> image."	"abstract_adj-nou"
"He is known for his <abstract> expressionist ceramic sculptures, which crossed the traditional divide between ceramic crafts and fine art."	"abstract_adj-nou"
"An <abstract> data structure is a collection, or aggregate, of data."	"abstract_adj-nou"
"Police Gazette is a 1955 <abstract> painting by Willem de Kooning, which is currently in private hands."	"abstract_adj-nou"
"She is well known for her architecturally inspired knitted wall hangings that were very <abstract>."	"abstract_adj-nou"
"The suit led to legal changes permitting the importation of <abstract> art free of duty."	"abstract_adj-nou"
"He creates both figurative and <abstract> sculptures in marble, metal and wood."	"abstract_adj-nou"
"In his Foundations of Algebraic Geometry, Weil defined an <abstract> algebraic variety using valuations."	"abstract_adj-nou"
"On the even numbered cards, the <abstract> curved lines are all that is present."	"abstract_adj-nou"
"The other parts of Vedas are the Samhitas (benedictions, hymns), Brahmanas (commentary), and the Upanishads (spirituality and <abstract> philosophy)."	"abstract_adj-nou"
"Goldoni's main characters are no <abstract> examples of human virtue, nor monstrous examples of human vice."	"abstract_adj-nou"
"The full annotations are only shown when the user selects an <abstract>."	"abstract_adj-nou"
"The Nash embedding theorem embeds an <abstract> Riemannian manifold isometrically in an Euclidean space."	"abstract_adj-nou"
"Here he was introduced to <Abstract> Expressionism."	"abstract_adj-nou"
"My problem was to <abstract> away the detail."	"abstract_vrb"
"Some such suits accuse the Vatican of complicity in sexual <abuse> by priests and money laundering."	"abuse_nou"
"Similarly the novel deals with the misuse and <abuse> of land in the south."	"abuse_nou"
"In December 1988, he announced a pilot project for substance <abuse> counselling operated by the YMCA of Metropolitan Toronto."	"abuse_nou"
"Marty can already tell how much Judd is going to <abuse> Shiloh."	"abuse_vrb"
"Advocacy services that encourage victims to establish <abuse>-free lives."	"abuse_nou"
"Barros has been accused of complicity in an <abuse> case there."	"abuse_nou"
"Some conditions they face include no time off; sexual, physical, and emotional <abuse>; withholding of wages; and restrictions of movement."	"abuse_nou"
"This valve is weakened by drug <abuse>."	"abuse_nou"
"Tanenbaum notes that MacKinnon misrepresents the prevalence of violence and <abuse>."	"abuse_nou"
"Prevention of Mental Disorders, Substance <Abuse>, and Problem Behaviors: A Developmental Perspective."	"abuse_nou"
"Ellen occasionally guesses correctly, causing Kate to become angry and verbally or physically <abuse> her."	"abuse_vrb"
"However, the stress encountered while recording Fun Terminal, drug <abuse>, alcoholism, and family commitments changed the scope of the band."	"abuse_nou"
"She also has a certificate as a sexual <abuse> counsellor."	"abuse_nou"
"In running the site, police rescued 85 children from ongoing <abuse> and arrested hundreds."	"abuse_nou"
"But day after day, Ilavarasi's father continues to verbally <abuse> them and looks at them as thieves."	"abuse_vrb"
"The album's lyrics focus on subjects such as propaganda, Catholic sex <abuse> cases, terrorism and fame."	"abuse_nou"
"Sexual <abuse> can happen because the female wants comfort, she has affiliation needs, she wants power, or sexual gratification."	"abuse_nou"
"He promised that if elected he would create an office of internal affairs to investigate ""fraud, waste and <abuse>""."	"abuse_nou"
"Neighbours described the couple as deranged, both possibly mentally ill, and known for loudness and verbal <abuse> of their neighbours."	"abuse_nou"
"Richardson realized the problem of smartphone <abuse> in classrooms as he was sitting in the back of a large lecture."	"abuse_nou"
"Jersey Police have so far recorded claims of <abuse> from 100 people."	"abuse_nou"
"Mr Burarrwanga's wider interests include Indigenous health, education and social issues, particularly substance <abuse>, domestic violence and family health."	"abuse_nou"
"This is how most partners adapt to verbal <abuse>."	"abuse_nou"
"Members of all three groups have been involved in child sexual <abuse>."	"abuse_nou"
"However, history has still shown the <abuse> of the vulnerable members of society through medical and psychiatric institutions."	"abuse_nou"
"On September 30, 2016, Gibbs was acquitted of all charges related to the sexual <abuse> allegations."	"abuse_nou"
"This study did not treat substance <abuse> as a mental health disorder."	"abuse_nou"
"Developing and implementing AOD <abuse> prevention strategies."	"abuse_nou"
"Later after much domestic <abuse>, his wife Rinki moved out in 1983, and the couple formally divorced in 1990."	"abuse_nou"
"He chaired the 1992 Orkney child <abuse> inquiry."	"abuse_nou"
"His <abuse> is interrupted by the arrival of Ramvati's son, Jeeva, who intervenes."	"abuse_nou"
"Princess is a child <abuse> survivor studies, who was abused several times by her close associates."	"abuse_nou"
"Gangsterism and drug <abuse> has increased and a number of informal settlements has sprung up in several areas."	"abuse_nou"
"Such <abuse> was unlawful and unacceptable, Naidu said."	"abuse_nou"
"These claims are backed up by a swelling number of academic studies and insider accounts of misconduct and <abuse>."	"abuse_nou"
"Black women were prohibited from defending themselves against any type of <abuse>, including sexual, at the hands of white men."	"abuse_nou"
"Vaishnavi cited that Nitin used to physically <abuse> her, which forced her to opt for divorce."	"abuse_vrb"
"Victims of child <abuse> or rape should be allowed sufficient breaks as and when required during the testimony."	"abuse_nou"
"Victims of The Village: Expose of rural Child <Abuse>."	"abuse_nou"
"In ""Tante Sun"" satirize state official wives who <abuse> the authority of their husbands."	"abuse_vrb"
"Disqualifying events include convictions for domestic violence and child <abuse>."	"abuse_nou"
"Environmental factors in the individual's adolescence include: child <abuse>, exposure to drugs, lack of supervision, media influence, and peer pressure."	"abuse_nou"
"This naturally occurring deficiency is one of the most studied genetic vulnerabilities to substance <abuse> across the field."	"abuse_nou"
"There has been speculation over whether the new SNDRIs will have an <abuse> potential like cocaine does."	"abuse_nou"
"Milwaukee Journal Sentinel, ""Man recounts <abuse> by priests, says pope should be held accountable,"" 25 March 2010."	"abuse_nou"
"Child abuse was a problem, and the government continued its efforts to monitor <abuse> and prosecute offenders."	"abuse_nou"
"However, ""in many cases of animal advocacy groups versus organisations accused of animal <abuse>, both sides have cultural claims."""	"abuse_nou"
"He has worked to fund public education and to protect youth from <abuse>."	"abuse_nou"
"In 2016, John found Skye in his house, learning that Carol continues to <abuse> Skye and allows her to stay."	"abuse_vrb"
"Bishop Louis Edward Gelineau was criticized for his management of sexual <abuse> allegations in the Providence Diocese."	"abuse_nou"
"The bills are designed to protect children from the <abuse> of restraint and seclusion in school."	"abuse_nou"
"The Speed Culture: Amphetamine Use and <Abuse> in America."	"abuse_nou"
"The Report of the National Commission on Marihuana and Drug <Abuse>."	"abuse_nou"
"It smashed taboos surrounding mental health, <abuse>, sexuality and religion with humor and optimism."	"abuse_nou"
"Defiance of, or appeals to, the Nationalities Law met with derision or <abuse>."	"abuse_nou"
"Allegations included rape, sodomy, fellatio and bizarre acts characteristic of satanic ritual <abuse>."	"abuse_nou"
"The charges of third-degree sexual <abuse> were dropped."	"abuse_nou"
"We didn't say 'We need a drug song or a child <abuse> song,' but when they fit, we used them."	"abuse_nou"
"Outraged workers surveyed CPS men in other hospitals and learned of the degree of <abuse> throughout the psychiatric care system."	"abuse_nou"
"Despite periodic investigations, changes of leadership, and promises to improve, the allegations of cruelty and <abuse> continued."	"abuse_nou"
"One student pleaded guilty to second degree sexual <abuse>."	"abuse_nou"
"They do not include other factors of disadvantage such as unemployment, race, sexual orientation or <abuse>."	"abuse_nou"
"Etiological correlates of vaginismus: Sexual and physical <abuse>, sexual knowledge, sexual self-schema, and relationship adjustment."	"abuse_nou"
"Many arranged marriages also end up being cold and dysfunctional as well, with reports of <abuse>."	"abuse_nou"
"She described the <abuse> as ""mild inappropriate touching"", saying it occurred while she was sleeping and was ""fully clothed""."	"abuse_nou"
"In Ramona v. Isabella, Gary Ramona sued his daughter's therapist for implanting false memories of his <abuse> of her."	"abuse_nou"
"In 2010, more than 16,000 deaths were attributed to <abuse> of opioid drugs."	"abuse_nou"
"Compton, much like the rest of the nation, it troubled with drug <abuse> problems and street gang violence."	"abuse_nou"
"In 1934, the New York Parental School was investigated amid rumors of <abuse>."	"abuse_nou"
"He also recommended that a program of compensation be established for the victims of sexual <abuse> at Kingsclear (see below)."	"abuse_nou"
"Richard suffers from poor health and is a recovering alcoholic, but Elizabeth continues to drink excessively and <abuse> prescription medication."	"abuse_vrb"
"Thus this explanation deduced that similar <abuse> must have happened each time that the Bible uses the same language."	"abuse_nou"
"Satan's Silence: Ritual <Abuse> and the Making of a Modern American Witch Hunt."	"abuse_nou"
"They urged civilian review boards to hear complaints of police <abuse>, a demand that was ultimately met."	"abuse_nou"
"Stedman SJ, Tanner F. Refugee Manipulation: War, Politics, and the <Abuse> of Human Suffering."	"abuse_nou"
"Frank Church Warns of How Easily Government Can <Abuse> Expanding Surveillance Capabilities""."	"abuse_vrb"
"In accordance, although very rare, case reports of modafinil <abuse> exist."	"abuse_nou"
"The first video shows ten prison guards conducting physical and verbal <abuse> on prisoners."	"abuse_nou"
"Soviet psychiatric <abuse>: the shadow over world psychiatry."	"abuse_nou"
"There are allegations of torture and <abuse> of prisoners."	"abuse_nou"
"After a long struggle with drug <abuse>, Breau was finally sober."	"abuse_nou"
"There were incidences of <abuse>, however, with one example having been recorded in the ""Records of Officialdom""."	"abuse_nou"
"In adoptive homes, child neglect and <abuse> and even divorce between the parents is uncommon."	"abuse_nou"
"Medical examinations revealed many fissures along Haru's leg bones, due to Fuji's habitual <abuse>."	"abuse_nou"
"But I will reject <abuse> and all that it stands for,"" adding, ""."	"abuse_nou"
"One commentator suggested it was part of a pattern of sexual <abuse> of prisoners."	"abuse_nou"
"They also participate in events such as the World Elder <Abuse> Awareness Day."	"abuse_nou"
"Because of their potential for <abuse>, sweepstakes are heavily regulated in many countries."	"abuse_nou"
"Litigants, attorneys, law enforcement and judiciary can <abuse> the system, sometimes accidentally but more often intentionally."	"abuse_vrb"
"The second victim denied physical abuse, but witnessed the physical <abuse> inflicted upon the other victim."	"abuse_nou"
"During the 1992 War of Transnistria the village was the scene of alleged human rights <abuses> by Moldovans."	"abuses_nou"
"There are also <abuses> of media rights and access."	"abuses_nou"
"While the Chipmunks like Samantha, her son Miles is a bully who physically <abuses> the trio."	"abuses_vrb"
"Highly influenced by the Jindyworobak Movement, it also describes the inter-racial relationships and <abuses> of the period."	"abuses_nou"
"The US government received no reports of societal <abuses> or discrimination based on religious belief or practice."	"abuses_nou"
"The speech penned by Sallust for Memmius describes various <abuses>, and is used to argue that all monarchs are corrupt."	"abuses_nou"
"In 1873, Khaznadar again undertook reforms and attacked the widespread financial <abuses> within the bureaucracy."	"abuses_nou"
"The 1979 Beach Inquiry found that the Armed Robbery Squad had committed ""<abuses>."	"abuses_nou"
"The opportunity to denounce the <abuses> of the Protectorate authorities was given to me."	"abuses_nou"
"An Online Complaint Center for consumers to report privacy <abuses> and request information on ways to protect their privacy."	"abuses_nou"
"The commission documents <abuses> by the Forces Armée Rwandaise (FAR), which included both the national police and the military."	"abuses_nou"
"They travel to Uruk to confront Gilgamesh and stop his <abuses>."	"abuses_nou"
"Chinese Human Rights Defenders, Re-education through Labor <Abuses> Continue Unabated: Overhaul Long Overdue, 4 February 2009."	"abuses_nou"
"Images are stored on ImageShack indefinitely unless the image or the user who uploaded it <abuses> the Terms of Service."	"abuses_vrb"
"Among other <abuses>, this most obviously involves abuse of article 17 of the Universal Declaration of Human Rights."	"abuses_nou"
"After 1993, he became concerned about plaintiff attorney <abuses> of the Unfair Competition Law he had been instrumental in drafting."	"abuses_nou"
"She previously worked for Amnesty International, where she was in charge of their investigations into Human Rights <abuses> in Iraq."	"abuses_nou"
"He is married and <abuses> his wife regularly, leading to her losing touch with reality."	"abuses_vrb"
"Many members of the Federal Police and the Army joined TCOs, and participated in <abuses> against the citizenry."	"abuses_nou"
"He cruelly <abuses> her, as Cathy's marriage to Edgar continues to torment him."	"abuses_vrb"
"Mujahid has Zoofi forcibly marry Shakeel, who taunts and <abuses> her."	"abuses_vrb"
"In 1274, Kublai appointed Lian Xixian to investigate <abuses> of power by Mongol appanage holders in Manchuria."	"abuses_nou"
"In September 1661, he was the head of a commission to inquire into the <abuses> in the post office."	"abuses_nou"
"The unfaithful duo, on their success, <abuses> Chandni to which Rahul fights with them and begins enmity with Harry."	"abuses_vrb"
"She <abuses> Frado both physically and mentally."	"abuses_vrb"
"Police routinely investigated such allegations, which rarely resulted in punishment (see section 5 Other Societal <Abuses> and Discrimination)."	"abuses_nou"
"Student Loan Law: Collections, Intercepts, Deferments, Discharges, Repayment Plans, and Trade School <Abuses>."	"abuses_nou"
"The society's goals were to oppose superstition, obscurantism, religious influence over public life and <abuses> of state power."	"abuses_nou"
"For example, a World Rainforest Movement report documents land disputes and human rights <abuses> at Mount Elgon."	"abuses_nou"
"The <abuses> occur not only on the street but also in schools."	"abuses_nou"
"Lyrically the track is written about a failing relationship caused by a lover who <abuses> alcohol."	"abuses_vrb"
"In the past, priests who committed <abuses> were removed by bishops, but bishops were rarely held accountable."	"abuses_nou"
"It is tasked with investigating allegations of human rights <abuses> and journalist intimidation."	"abuses_nou"
"It was dismantled in 1958 after the Party Congress that discussed his <abuses>."	"abuses_nou"
"He is known to be a womanizer, and <abuses> the hospitality of Pedro Crespo by creating commotion during his stay."	"abuses_vrb"
"In recent years, state legislatures have passed new laws aimed at eliminating the worst <abuses> at puppy mills."	"abuses_nou"
"Canada became an outspoken critic of the Taliban's human rights <abuses> against the citizens of Afghanistan."	"abuses_nou"
"Instead, he finds that the Ultor Corporation <abuses> the workers and forces them to endure hazardous living conditions."	"abuses_vrb"
"Its stated mission is to ""eradicate <abuses> committed under the guise of mental health and enact patient and consumer protections."""	"abuses_nou"
"Owing to <abuses> a Public Inquiry was held in 1938 and the Urban Council dissolved."	"abuses_nou"
"As a result, sponsors may restrict workers' movements and workers may be afraid to report <abuses> or claim their rights."	"abuses_nou"
"Broken Shield, a series of investigations into police failures and <abuses>."	"abuses_nou"
"His father <abuses> him, causing him to act the way he does at school."	"abuses_vrb"
"Lawlessness during wars and civil conflicts can create a culture of impunity towards human rights <abuses> of civilians."	"abuses_nou"
"Establishment of measures to end <abuses> in the church."	"abuses_nou"
"There were reports of societal <abuses> based on religious affiliation, belief, or practice."	"abuses_nou"
"The pope or his legate, however, took no steps to remove <abuses> or otherwise reform the Scandinavian churches."	"abuses_nou"
"Once in office, Garrison cracked down on prostitution and the <abuses> of Bourbon Street bars and strip joints."	"abuses_nou"
"Tension arises in their marriage as Jake continually upbraids and <abuses> Gitl, despite her efforts to assimilate."	"abuses_vrb"
"When the report was publicised, there was public outrage in Britain over the <abuses>."	"abuses_nou"
"Boche was later placed in a foster family in 1999, after suffering repeated physical and emotional <abuses> over 5 years."	"abuses_nou"
"Frank and outspoken, he took every opportunity to denounce the <abuses> and arrogance of the Spaniards."	"abuses_nou"
"According to researchers, pictures indicate the consent of the photographers to the <abuses> and murders committed."	"abuses_nou"
"All the slain journalists were investigating controversial issues within Honduran society, including corruption, drug trafficking and human rights <abuses>."	"abuses_nou"
"He has campaigned against <abuses> of the postal vote system and helped to bring about some reforms to it."	"abuses_nou"
"During the year the government conducted some trials for <abuses> committed in the context of internal conflicts in the east."	"abuses_nou"
"Its magazine Freedom published anti-IRS stories under headlines such as ""Speaking Out Against IRS <Abuses>"",."	"abuses_nou"
"The organization advocates for a federal inquiry/committee to investigate illegal, unethical and human rights <abuses> in adoption practice in Canada."	"abuses_nou"
"If you cannot permit <abuses>, you must at least tolerate them."	"abuses_nou"
"Upon release, he eventually headed a New Zealand commission of investigation into <abuses> at Sime Road Internment Camp."	"abuses_nou"
"Wolves Within the Fold: Religious Leadership and <Abuses> of Power."	"abuses_nou"
"It also said that many <abuses> were deliberately misreported as ""accidents""."	"abuses_nou"
"He had become known as someone who would stand up to <abuses> of power in the European officialdom."	"abuses_nou"
"He was elected to the colony's assembly and spoke out against governmental <abuses>."	"abuses_nou"
"Mrs. Reed: Jane's aunt by marriage, who adopts Jane on her husband's wishes, but <abuses> and neglects her."	"abuses_vrb"
"Meanwhile, the minimum wage remains well below that on the U.S. mainland, and <abuses> of vulnerable workers are commonplace."	"abuses_nou"
"There were limited reports of societal <abuses> or discrimination based on religious belief or practice."	"abuses_nou"
"Reported <abuses> of human rights in Tibet include restricted freedom of religion, belief, and association."	"abuses_nou"
"Throughout the novel, Rowdy's father <abuses> him, which leads to his bully-like behavior."	"abuses_vrb"
"NAWHERC has been active in reporting <abuses> in reproductive care and medication in the Native American community."	"abuses_nou"
"Various objections to the witch hunts were raised on the basis of their <abuses> of the law."	"abuses_nou"
"This is a term coined in missiological circles describing some of the <abuses> and failures in the mission field."	"abuses_nou"
"This early failure to correct <abuses> in his diocese did not discourage von Utenheim from reformist enterprises however."	"abuses_nou"
"According to the U.S. State Department, major human rights <abuses> occur in the country."	"abuses_nou"
"Strong Paraguayan-U.S. relations continued until the Carter Administration emphasized a foreign policy that recognized human rights <abuses>."	"abuses_nou"
"The specific purposes of the shortwave radio program are:- Helping victims of oppressions, labor <abuses>, corruptions, etc."	"abuses_nou"
"Ruby verbally <abuses> Colin and he slaps her."	"abuses_vrb"
"He and his UBOP squad were accused of serious human rights <abuses> within Kabardino-Balkaria, including of torture and murder."	"abuses_nou"
"Declamation on <abuses> introduced into the Castilian, presented and awarded at the Spanish Academy, 1791."	"abuses_nou"
"Some groups are especially vulnerable to human rights <abuses> collateral to drug law enforcement."	"abuses_nou"
"Since the 1970s, the European Court of Human Rights has condemned Turkey for the thousands of human rights <abuses>."	"abuses_nou"
"It also reported on other human rights <abuses> in the country."	"abuses_nou"
"Gee brought correction to the <abuses> of Spiritual Gifts and systematically taught the people the Word."	"abuses_nou"
"He again attacked <abuses>, agitated for reform, and in 1810 came sharply into collision with the House of Commons."	"abuses_nou"
"He blames Shera for the incident as he does not believe her concerns were justified, and verbally <abuses> her."	"abuses_vrb"
"<Abuses> of electronic surveillance by the federal government such as Project SHAMROCK led to reform legislation in the 1970s."	"abuses_nou"
"He has focused on how multinational corporations operate in foreign countries, documenting human rights and environmental <abuses>."	"abuses_nou"
"Nonetheless, when government <abuses> against the leaders of the WFM seemed too egregious, Gompers relented and offered assistance."	"abuses_nou"
"There were few reports of societal <abuses> or discrimination based on religious belief or practice."	"abuses_nou"
"Human rights <abuses> in Jammu and Kashmir, a disputed territory administered by India, are an ongoing issue."	"abuses_nou"
"The man was later revealed to be a completely unreliable drug <addict>."	"addict_nou"
"In 2015, American actress Jenna Elfman presented American <Addict> with an Award for Social Activism."	"addict_nou"
"When he was six years old his father died and later his brother became a drug <addict> and also died."	"addict_nou"
"At a meeting about cravings, she meets fellow <addict> Lucy (Caridad de la Luz), and befriends her."	"addict_nou"
"In her 2013 memoirs, Brown admitted that she was a cocaine and methamphetamine <addict> for a decade."	"addict_nou"
"In the first season, he has a one-night stand with Gina Russo, a recovering sex <addict>."	"addict_nou"
"Bhavani is not interested, and he becomes a drug-<addict>."	"addict_nou"
"He is also a heroin <addict>, and has overdosed at least once."	"addict_nou"
"Their relationship was awkward because for the first few years of her life, he was a cocaine <addict>."	"addict_nou"
"Danneel Harris returned to portray Rachel Gatina, who is now a drug <addict>."	"addict_nou"
"Bree warms up to her AA sponsor Peter who in addition to being an alcoholic is a sex <addict>."	"addict_nou"
"The film stars Alexandre Landry as Alex, a male hustler and drug <addict> in Montreal."	"addict_nou"
"She want to leave him but she is afraid to stay alone, so she becomes drug <addict>."	"addict_nou"
"The film concerns a tattered relationship between Sarah, a drug <addict>, and her young son, Jeremiah."	"addict_nou"
"Now an <addict>, Eddie loses his job."	"addict_nou"
"Hunt's mother was a drug <addict> and he was mostly raised by his grandmother."	"addict_nou"
"Baudelaire analyzes the motivation of the <addict>, and the individual psychedelic experience of the user."	"addict_nou"
"In 2003, she met her friend, fellow music <addict> Yoshiaki Dewa."	"addict_nou"
"Justine's twin, Joshua, was admitted to the program because he was an <addict>."	"addict_nou"
"After initial disagreements, Alex reveals to Izzie that his father was a heroin <addict> who used to beat his mother."	"addict_nou"
"The Doctor is accompanied on this task by Rigg's co-pilot, Secker, who, it becomes apparent, is a drug <addict>."	"addict_nou"
"She's a former drug <addict> and prostitute, which has a negative impact on Jay."	"addict_nou"
"Thompson commented on his storyline, saying: ""I had a friend whose daughter was a drug <addict>."	"addict_nou"
"She becomes caretaker to her mother, who is revealed as a morphine <addict>."	"addict_nou"
"He was the interventionist for Jason, a heroin <addict>, in episode 123, and became a regular interventionist in Season 10."	"addict_nou"
"Nick convinces Jim and Ves to meet Danny, a heroin <addict>."	"addict_nou"
"In November 2011, Michie revealed that Karl would become a gambling <addict> in an upcoming storyline."	"addict_nou"
"Drug <addict>, she helped Temple Gault murder Lamont Brown."	"addict_nou"
"Rock musician Brian Head Welch references experiencing the spins during his time as an alcoholic and drug <addict>."	"addict_nou"
"At the age of 27, he killed former boxer, quarter tough guy, and fellow cocaine <addict> Giancarlo Ricci."	"addict_nou"
"Early in 1977, he met Nancy Spungen, an emotionally disturbed drug <addict> and sometime prostitute from New York."	"addict_nou"
"Her son (Becca's brother, Arthur), a heroin <addict>, hanged himself at the age of 30."	"addict_nou"
